sample_index,timestamp,elapsed_seconds,image_file,steering_normalized,steering_angle_est_deg,steering_gain,throttle_normalized,throttle_gain
0,2026-08-24T05:08:03.415,0.005,images/frame_000000.jpg,0.000000,0.000,-1.000,0.000000,1.000
1,2026-08-24T05:08:04.411,1.000,images/frame_000001.jpg,0.000000,0.000,-1.000,1.000000,1.000
2,2026-08-24T05:08:05.411,2.000,images/frame_000002.jpg,0.670588,20.118,-1.000,1.000000,1.000
3,2026-08-24T05:08:06.411,3.000,images/frame_000003.jpg,0.000000,0.000,-1.000,1.000000,1.000
4,2026-08-24T05:08:07.411,4.000,images/frame_000004.jpg,0.000000,0.000,-1.000,1.000000,1.000
5,2026-08-24T05:08:08.411,5.000,images/frame_000005.jpg,0.000000,0.000,-1.000,1.000000,1.000
6,2026-08-24T05:08:09.413,6.003,images/frame_000006.jpg,0.000000,0.000,-1.000,1.000000,1.000
7,2026-08-24T05:08:10.413,7.002,images/frame_000007.jpg,0.000000,0.000,-1.000,0.929412,1.000
8,2026-08-24T05:08:11.411,8.000,images/frame_000008.jpg,1.000000,30.000,-1.000,0.843137,1.000
9,2026-08-24T05:08:12.411,9.000,images/frame_000009.jpg,0.000000,0.000,-1.000,0.607843,1.000
10,2026-08-24T05:08:13.411,10.000,images/frame_000010.jpg,0.000000,0.000,-1.000,1.000000,1.000
11,2026-08-24T05:08:14.410,11.000,images/frame_000011.jpg,-1.000000,-30.000,-1.000,1.000000,1.000
12,2026-08-24T05:08:15.411,12.000,images/frame_000012.jpg,0.000000,0.000,-1.000,1.000000,1.000
13,2026-08-24T05:08:16.411,13.000,images/frame_000013.jpg,0.000000,0.000,-1.000,1.000000,1.000
14,2026-08-24T05:08:17.411,14.000,images/frame_000014.jpg,0.000000,0.000,-1.000,1.000000,1.000
15,2026-08-24T05:08:18.411,15.000,images/frame_000015.jpg,0.000000,0.000,-1.000,1.000000,1.000
16,2026-08-24T05:08:19.411,16.000,images/frame_000016.jpg,0.000000,0.000,-1.000,1.000000,1.000
17,2026-08-24T05:08:20.411,17.000,images/frame_000017.jpg,0.000000,0.000,-1.000,1.000000,1.000
18,2026-08-24T05:08:21.411,18.001,images/frame_000018.jpg,0.000000,0.000,-1.000,1.000000,1.000
19,2026-08-24T05:08:22.411,19.000,images/frame_000019.jpg,0.000000,0.000,-1.000,1.000000,1.000
20,2026-08-24T05:08:23.411,20.000,images/frame_000020.jpg,0.000000,0.000,-1.000,1.000000,1.000
21,2026-08-24T05:08:24.410,21.000,images/frame_000021.jpg,1.000000,30.000,-1.000,1.000000,1.000
22,2026-08-24T05:08:25.411,22.000,images/frame_000022.jpg,1.000000,30.000,-1.000,1.000000,1.000
23,2026-08-24T05:08:26.411,23.000,images/frame_000023.jpg,0.000000,0.000,-1.000,1.000000,1.000
24,2026-08-24T05:08:27.411,24.000,images/frame_000024.jpg,0.000000,0.000,-1.000,1.000000,1.000
25,2026-08-24T05:08:28.411,25.000,images/frame_000025.jpg,0.000000,0.000,-1.000,1.000000,1.000
26,2026-08-24T05:08:29.411,26.000,images/frame_000026.jpg,0.000000,0.000,-1.000,1.000000,1.000
27,2026-08-24T05:08:30.411,27.000,images/frame_000027.jpg,0.000000,0.000,-1.000,1.000000,1.000
28,2026-08-24T05:08:31.411,28.000,images/frame_000028.jpg,1.000000,30.000,-1.000,1.000000,1.000
29,2026-08-24T05:08:32.410,29.000,images/frame_000029.jpg,0.913725,27.412,-1.000,1.000000,1.000
30,2026-08-24T05:08:33.411,30.000,images/frame_000030.jpg,0.000000,0.000,-1.000,1.000000,1.000
31,2026-08-24T05:08:34.410,31.000,images/frame_000031.jpg,0.000000,0.000,-1.000,1.000000,1.000
32,2026-08-24T05:08:35.411,32.001,images/frame_000032.jpg,0.000000,0.000,-1.000,1.000000,1.000
33,2026-08-24T05:08:36.411,33.000,images/frame_000033.jpg,0.000000,0.000,-1.000,1.000000,1.000
34,2026-08-24T05:08:37.410,34.000,images/frame_000034.jpg,1.000000,30.000,-1.000,1.000000,1.000
35,2026-08-24T05:08:38.413,35.003,images/frame_000035.jpg,0.000000,0.000,-1.000,1.000000,1.000
36,2026-08-24T05:08:39.413,36.003,images/frame_000036.jpg,0.000000,0.000,-1.000,1.000000,1.000
37,2026-08-24T05:08:40.410,37.000,images/frame_000037.jpg,0.000000,0.000,-1.000,1.000000,1.000
38,2026-08-24T05:08:41.411,38.000,images/frame_000038.jpg,0.000000,0.000,-1.000,1.000000,1.000
39,2026-08-24T05:08:42.412,39.002,images/frame_000039.jpg,-1.000000,-30.000,-1.000,1.000000,1.000
40,2026-08-24T05:08:43.413,40.003,images/frame_000040.jpg,0.000000,0.000,-1.000,1.000000,1.000
41,2026-08-24T05:08:44.413,41.003,images/frame_000041.jpg,1.000000,30.000,-1.000,1.000000,1.000
42,2026-08-24T05:08:45.411,42.000,images/frame_000042.jpg,1.000000,30.000,-1.000,1.000000,1.000
43,2026-08-24T05:08:46.413,43.003,images/frame_000043.jpg,0.000000,0.000,-1.000,1.000000,1.000
44,2026-08-24T05:08:47.413,44.002,images/frame_000044.jpg,0.000000,0.000,-1.000,1.000000,1.000
45,2026-08-24T05:08:48.411,45.000,images/frame_000045.jpg,0.192157,5.765,-1.000,1.000000,1.000
46,2026-08-24T05:08:49.412,46.002,images/frame_000046.jpg,0.000000,0.000,-1.000,1.000000,1.000
47,2026-08-24T05:08:50.411,47.001,images/frame_000047.jpg,0.000000,0.000,-1.000,1.000000,1.000
48,2026-08-24T05:08:51.411,48.001,images/frame_000048.jpg,0.000000,0.000,-1.000,1.000000,1.000
49,2026-08-24T05:08:52.411,49.001,images/frame_000049.jpg,0.000000,0.000,-1.000,1.000000,1.000
50,2026-08-24T05:08:53.412,50.001,images/frame_000050.jpg,0.000000,0.000,-1.000,1.000000,1.000
51,2026-08-24T05:08:54.411,51.001,images/frame_000051.jpg,1.000000,30.000,-1.000,1.000000,1.000
52,2026-08-24T05:08:55.411,52.000,images/frame_000052.jpg,0.000000,0.000,-1.000,1.000000,1.000
53,2026-08-24T05:08:56.412,53.002,images/frame_000053.jpg,-1.000000,-30.000,-1.000,1.000000,1.000
54,2026-08-24T05:08:57.411,54.001,images/frame_000054.jpg,1.000000,30.000,-1.000,1.000000,1.000
55,2026-08-24T05:08:58.411,55.000,images/frame_000055.jpg,0.000000,0.000,-1.000,1.000000,1.000
56,2026-08-24T05:08:59.411,56.000,images/frame_000056.jpg,1.000000,30.000,-1.000,1.000000,1.000
57,2026-08-24T05:09:00.411,57.001,images/frame_000057.jpg,-0.341176,-10.235,-1.000,1.000000,1.000
58,2026-08-24T05:09:01.410,58.000,images/frame_000058.jpg,0.000000,0.000,-1.000,1.000000,1.000
59,2026-08-24T05:09:02.410,59.000,images/frame_000059.jpg,0.000000,0.000,-1.000,1.000000,1.000
60,2026-08-24T05:09:03.410,60.000,images/frame_000060.jpg,0.000000,0.000,-1.000,1.000000,1.000
61,2026-08-24T05:09:04.410,61.000,images/frame_000061.jpg,0.000000,0.000,-1.000,1.000000,1.000
62,2026-08-24T05:09:05.414,62.003,images/frame_000062.jpg,1.000000,30.000,-1.000,1.000000,1.000
63,2026-08-24T05:09:06.411,63.000,images/frame_000063.jpg,1.000000,30.000,-1.000,0.654902,1.000
64,2026-08-24T05:09:07.410,64.000,images/frame_000064.jpg,0.301961,9.059,-1.000,0.898039,1.000
65,2026-08-24T05:09:08.411,65.000,images/frame_000065.jpg,0.000000,0.000,-1.000,0.850980,1.000
66,2026-08-24T05:09:09.411,66.001,images/frame_000066.jpg,0.000000,0.000,-1.000,0.749020,1.000
67,2026-08-24T05:09:10.410,67.000,images/frame_000067.jpg,0.000000,0.000,-1.000,0.780392,1.000
68,2026-08-24T05:09:11.411,68.000,images/frame_000068.jpg,-0.905882,-27.176,-1.000,0.239216,1.000
69,2026-08-24T05:09:12.410,69.000,images/frame_000069.jpg,0.000000,0.000,-1.000,1.000000,1.000
70,2026-08-24T05:09:13.410,70.000,images/frame_000070.jpg,0.000000,0.000,-1.000,0.325490,1.000
71,2026-08-24T05:09:14.412,71.002,images/frame_000071.jpg,0.000000,0.000,-1.000,1.000000,1.000
72,2026-08-24T05:09:15.411,72.001,images/frame_000072.jpg,0.000000,0.000,-1.000,0.000000,1.000
73,2026-08-24T05:09:16.410,73.000,images/frame_000073.jpg,0.000000,0.000,-1.000,0.000000,1.000
