sample_index,timestamp,elapsed_seconds,image_file,steering_normalized,steering_angle_est_deg,steering_gain,throttle_normalized,throttle_gain
0,2026-08-24T22:42:06.181,0.005,images/frame_000000.jpg,0.000000,0.000,-1.000,0.000000,0.900
1,2026-08-24T22:42:07.176,1.000,images/frame_000001.jpg,1.000000,30.000,-1.000,1.000000,0.900
2,2026-08-24T22:42:08.176,2.000,images/frame_000002.jpg,1.000000,30.000,-1.000,0.960784,0.900
3,2026-08-24T22:42:09.176,3.000,images/frame_000003.jpg,0.000000,0.000,-1.000,0.960784,0.900
4,2026-08-24T22:42:10.176,4.000,images/frame_000004.jpg,1.000000,30.000,-1.000,0.913725,0.900
5,2026-08-24T22:42:11.176,5.000,images/frame_000005.jpg,0.000000,0.000,-1.000,0.905882,0.900
6,2026-08-24T22:42:12.176,6.000,images/frame_000006.jpg,0.000000,0.000,-1.000,0.905882,0.900
7,2026-08-24T22:42:13.176,7.000,images/frame_000007.jpg,-0.529412,-15.882,-1.000,0.905882,0.900
8,2026-08-24T22:42:14.176,8.000,images/frame_000008.jpg,0.000000,0.000,-1.000,0.905882,0.900
9,2026-08-24T22:42:15.176,9.000,images/frame_000009.jpg,0.000000,0.000,-1.000,0.905882,0.900
10,2026-08-24T22:42:16.176,10.000,images/frame_000010.jpg,0.000000,0.000,-1.000,0.905882,0.900
11,2026-08-24T22:42:17.176,11.000,images/frame_000011.jpg,1.000000,30.000,-1.000,0.905882,0.900
12,2026-08-24T22:42:18.176,12.000,images/frame_000012.jpg,1.000000,30.000,-1.000,0.905882,0.900
13,2026-08-24T22:42:19.176,13.000,images/frame_000013.jpg,-1.000000,-30.000,-1.000,0.905882,0.900
14,2026-08-24T22:42:20.176,14.000,images/frame_000014.jpg,0.000000,0.000,-1.000,0.905882,0.900
15,2026-08-24T22:42:21.176,15.000,images/frame_000015.jpg,0.000000,0.000,-1.000,0.905882,0.900
16,2026-08-24T22:42:22.176,16.000,images/frame_000016.jpg,0.000000,0.000,-1.000,0.905882,0.900
17,2026-08-24T22:42:23.179,17.003,images/frame_000017.jpg,1.000000,30.000,-1.000,0.905882,0.900
18,2026-08-24T22:42:24.177,18.001,images/frame_000018.jpg,0.000000,0.000,-1.000,0.905882,0.900
19,2026-08-24T22:42:25.176,19.000,images/frame_000019.jpg,0.000000,0.000,-1.000,0.905882,0.900
20,2026-08-24T22:42:26.176,20.000,images/frame_000020.jpg,0.000000,0.000,-1.000,0.905882,0.900
21,2026-08-24T22:42:27.176,21.000,images/frame_000021.jpg,0.000000,0.000,-1.000,0.905882,0.900
