sample_index,timestamp,elapsed_seconds,image_file,steering_normalized,steering_angle_est_deg,steering_gain,throttle_normalized,throttle_gain
0,2026-08-24T22:39:30.820,0.008,images/frame_000000.jpg,0.000000,0.000,-1.000,0.000000,0.900
1,2026-08-24T22:39:31.813,1.000,images/frame_000001.jpg,1.000000,30.000,-1.000,0.984314,0.900
2,2026-08-24T22:39:32.813,2.000,images/frame_000002.jpg,0.905882,27.176,-1.000,0.952941,0.900
3,2026-08-24T22:39:33.813,3.000,images/frame_000003.jpg,0.000000,0.000,-1.000,0.458824,0.900
4,2026-08-24T22:39:34.813,4.000,images/frame_000004.jpg,0.000000,0.000,-1.000,0.741176,0.900
5,2026-08-24T22:39:35.813,5.000,images/frame_000005.jpg,-1.000000,-30.000,-1.000,1.000000,0.900
6,2026-08-24T22:39:36.813,6.000,images/frame_000006.jpg,0.000000,0.000,-1.000,1.000000,0.900
7,2026-08-24T22:39:37.813,7.000,images/frame_000007.jpg,0.000000,0.000,-1.000,1.000000,0.900
8,2026-08-24T22:39:38.813,8.000,images/frame_000008.jpg,0.000000,0.000,-1.000,1.000000,0.900
9,2026-08-24T22:39:39.813,9.000,images/frame_000009.jpg,0.000000,0.000,-1.000,1.000000,0.900
10,2026-08-24T22:39:40.813,10.000,images/frame_000010.jpg,0.000000,0.000,-1.000,1.000000,0.900
11,2026-08-24T22:39:41.813,11.000,images/frame_000011.jpg,0.000000,0.000,-1.000,1.000000,0.900
12,2026-08-24T22:39:42.813,12.000,images/frame_000012.jpg,0.000000,0.000,-1.000,1.000000,0.900
13,2026-08-24T22:39:43.813,13.000,images/frame_000013.jpg,0.000000,0.000,-1.000,1.000000,0.900
14,2026-08-24T22:39:44.813,14.000,images/frame_000014.jpg,0.000000,0.000,-1.000,1.000000,0.900
15,2026-08-24T22:39:45.813,15.000,images/frame_000015.jpg,0.000000,0.000,-1.000,1.000000,0.900
16,2026-08-24T22:39:46.813,16.000,images/frame_000016.jpg,0.000000,0.000,-1.000,1.000000,0.900
17,2026-08-24T22:39:47.813,17.000,images/frame_000017.jpg,0.000000,0.000,-1.000,1.000000,0.900
