sample_index,timestamp,elapsed_seconds,image_file,steering_normalized,steering_angle_est_deg,steering_gain,throttle_normalized,throttle_gain
0,2026-08-24T22:38:41.476,0.008,images/frame_000000.jpg,0.000000,0.000,-1.000,0.000000,0.900
1,2026-08-24T22:38:42.468,1.001,images/frame_000001.jpg,0.000000,0.000,-1.000,0.639216,0.900
2,2026-08-24T22:38:43.469,2.001,images/frame_000002.jpg,0.000000,0.000,-1.000,0.560784,0.900
3,2026-08-24T22:38:44.468,3.000,images/frame_000003.jpg,-0.952941,-28.588,-1.000,0.843137,0.900
4,2026-08-24T22:38:45.468,4.000,images/frame_000004.jpg,0.000000,0.000,-1.000,1.000000,0.900
5,2026-08-24T22:38:46.468,5.000,images/frame_000005.jpg,0.000000,0.000,-1.000,1.000000,0.900
6,2026-08-24T22:38:47.469,6.001,images/frame_000006.jpg,0.000000,0.000,-1.000,1.000000,0.900
7,2026-08-24T22:38:48.468,7.000,images/frame_000007.jpg,0.000000,0.000,-1.000,1.000000,0.900
8,2026-08-24T22:38:49.468,8.000,images/frame_000008.jpg,0.000000,0.000,-1.000,1.000000,0.900
9,2026-08-24T22:38:50.468,9.000,images/frame_000009.jpg,0.000000,0.000,-1.000,1.000000,0.900
10,2026-08-24T22:38:51.468,10.000,images/frame_000010.jpg,-1.000000,-30.000,-1.000,1.000000,0.900
11,2026-08-24T22:38:52.468,11.000,images/frame_000011.jpg,-1.000000,-30.000,-1.000,1.000000,0.900
12,2026-08-24T22:38:53.468,12.001,images/frame_000012.jpg,-0.349020,-10.471,-1.000,1.000000,0.900
13,2026-08-24T22:38:54.468,13.000,images/frame_000013.jpg,0.000000,0.000,-1.000,0.874510,0.900
14,2026-08-24T22:38:55.468,14.000,images/frame_000014.jpg,0.000000,0.000,-1.000,0.874510,0.900
15,2026-08-24T22:38:56.468,15.000,images/frame_000015.jpg,0.000000,0.000,-1.000,0.874510,0.900
16,2026-08-24T22:38:57.468,16.000,images/frame_000016.jpg,0.000000,0.000,-1.000,0.000000,0.900
17,2026-08-24T22:38:58.468,17.000,images/frame_000017.jpg,0.000000,0.000,-1.000,0.000000,0.900
