sample_index,timestamp,elapsed_seconds,image_file,steering_normalized,steering_angle_est_deg,steering_gain,throttle_normalized,throttle_gain
0,2026-08-24T05:07:17.764,0.007,images/frame_000000.jpg,0.000000,0.000,-1.000,0.000000,1.000
1,2026-08-24T05:07:18.757,1.000,images/frame_000001.jpg,0.000000,0.000,-1.000,1.000000,1.000
2,2026-08-24T05:07:19.757,2.000,images/frame_000002.jpg,0.000000,0.000,-1.000,1.000000,1.000
3,2026-08-24T05:07:20.757,3.001,images/frame_000003.jpg,0.000000,0.000,-1.000,1.000000,1.000
4,2026-08-24T05:07:21.759,4.002,images/frame_000004.jpg,-1.000000,-30.000,-1.000,1.000000,1.000
5,2026-08-24T05:07:22.757,5.000,images/frame_000005.jpg,0.000000,0.000,-1.000,1.000000,1.000
6,2026-08-24T05:07:23.757,6.000,images/frame_000006.jpg,0.000000,0.000,-1.000,1.000000,1.000
7,2026-08-24T05:07:24.757,7.000,images/frame_000007.jpg,-1.000000,-30.000,-1.000,1.000000,1.000
8,2026-08-24T05:07:25.757,8.000,images/frame_000008.jpg,0.000000,0.000,-1.000,1.000000,1.000
9,2026-08-24T05:07:26.757,9.000,images/frame_000009.jpg,0.000000,0.000,-1.000,1.000000,1.000
10,2026-08-24T05:07:27.757,10.001,images/frame_000010.jpg,0.000000,0.000,-1.000,1.000000,1.000
11,2026-08-24T05:07:28.757,11.000,images/frame_000011.jpg,0.000000,0.000,-1.000,1.000000,1.000
12,2026-08-24T05:07:29.757,12.000,images/frame_000012.jpg,-0.725490,-21.765,-1.000,1.000000,1.000
13,2026-08-24T05:07:30.757,13.000,images/frame_000013.jpg,-1.000000,-30.000,-1.000,1.000000,1.000
14,2026-08-24T05:07:31.757,14.000,images/frame_000014.jpg,0.000000,0.000,-1.000,1.000000,1.000
15,2026-08-24T05:07:32.757,15.001,images/frame_000015.jpg,0.000000,0.000,-1.000,1.000000,1.000
16,2026-08-24T05:07:33.757,16.000,images/frame_000016.jpg,0.000000,0.000,-1.000,1.000000,1.000
17,2026-08-24T05:07:34.757,17.000,images/frame_000017.jpg,0.000000,0.000,-1.000,1.000000,1.000
18,2026-08-24T05:07:35.757,18.000,images/frame_000018.jpg,0.000000,0.000,-1.000,1.000000,1.000
19,2026-08-24T05:07:36.757,19.000,images/frame_000019.jpg,0.000000,0.000,-1.000,1.000000,1.000
20,2026-08-24T05:07:37.757,20.000,images/frame_000020.jpg,0.000000,0.000,-1.000,1.000000,1.000
21,2026-08-24T05:07:38.757,21.000,images/frame_000021.jpg,-1.000000,-30.000,-1.000,1.000000,1.000
22,2026-08-24T05:07:39.757,22.000,images/frame_000022.jpg,0.000000,0.000,-1.000,1.000000,1.000
23,2026-08-24T05:07:40.757,23.000,images/frame_000023.jpg,-1.000000,-30.000,-1.000,1.000000,1.000
24,2026-08-24T05:07:41.757,24.000,images/frame_000024.jpg,0.000000,0.000,-1.000,1.000000,1.000
25,2026-08-24T05:07:42.757,25.000,images/frame_000025.jpg,1.000000,30.000,-1.000,1.000000,1.000
26,2026-08-24T05:07:43.757,26.000,images/frame_000026.jpg,0.000000,0.000,-1.000,1.000000,1.000
27,2026-08-24T05:07:44.757,27.000,images/frame_000027.jpg,-0.294118,-8.824,-1.000,1.000000,1.000
28,2026-08-24T05:07:45.757,28.000,images/frame_000028.jpg,0.000000,0.000,-1.000,1.000000,1.000
29,2026-08-24T05:07:46.757,29.000,images/frame_000029.jpg,-1.000000,-30.000,-1.000,1.000000,1.000
30,2026-08-24T05:07:47.757,30.001,images/frame_000030.jpg,0.000000,0.000,-1.000,1.000000,1.000
31,2026-08-24T05:07:48.757,31.001,images/frame_000031.jpg,0.000000,0.000,-1.000,1.000000,1.000
32,2026-08-24T05:07:49.757,32.000,images/frame_000032.jpg,0.000000,0.000,-1.000,1.000000,1.000
33,2026-08-24T05:07:50.757,33.000,images/frame_000033.jpg,0.000000,0.000,-1.000,1.000000,1.000
34,2026-08-24T05:07:51.757,34.000,images/frame_000034.jpg,-0.960784,-28.824,-1.000,1.000000,1.000
35,2026-08-24T05:07:52.757,35.000,images/frame_000035.jpg,0.000000,0.000,-1.000,1.000000,1.000
36,2026-08-24T05:07:53.757,36.000,images/frame_000036.jpg,0.000000,0.000,-1.000,0.000000,1.000
