sample_index,timestamp,elapsed_seconds,image_file,steering_normalized,steering_angle_est_deg,steering_gain,throttle_normalized,throttle_gain
0,2026-08-24T05:09:30.919,0.008,images/frame_000000.jpg,0.000000,0.000,-1.000,0.000000,0.600
1,2026-08-24T05:09:31.911,1.000,images/frame_000001.jpg,0.000000,0.000,-1.000,0.992157,0.600
2,2026-08-24T05:09:32.911,2.000,images/frame_000002.jpg,0.000000,0.000,-1.000,1.000000,0.600
3,2026-08-24T05:09:33.911,3.000,images/frame_000003.jpg,0.000000,0.000,-1.000,1.000000,0.600
4,2026-08-24T05:09:34.911,4.000,images/frame_000004.jpg,-1.000000,-30.000,-1.000,0.000000,0.600
5,2026-08-24T05:09:35.911,5.000,images/frame_000005.jpg,-1.000000,-30.000,-1.000,0.000000,0.600
6,2026-08-24T05:09:36.911,6.000,images/frame_000006.jpg,0.000000,0.000,-1.000,1.000000,0.600
7,2026-08-24T05:09:37.911,7.000,images/frame_000007.jpg,0.000000,0.000,-1.000,1.000000,0.600
8,2026-08-24T05:09:38.911,8.000,images/frame_000008.jpg,0.000000,0.000,-1.000,1.000000,0.600
9,2026-08-24T05:09:39.911,9.000,images/frame_000009.jpg,0.654902,19.647,-1.000,1.000000,0.600
10,2026-08-24T05:09:40.911,10.000,images/frame_000010.jpg,0.537255,16.118,-1.000,1.000000,0.600
11,2026-08-24T05:09:41.911,11.000,images/frame_000011.jpg,0.000000,0.000,-1.000,0.827451,0.600
12,2026-08-24T05:09:42.911,12.000,images/frame_000012.jpg,1.000000,30.000,-1.000,0.827451,0.600
13,2026-08-24T05:09:43.911,13.000,images/frame_000013.jpg,1.000000,30.000,-1.000,0.827451,0.600
14,2026-08-24T05:09:44.911,14.000,images/frame_000014.jpg,0.000000,0.000,-1.000,0.827451,0.600
15,2026-08-24T05:09:45.911,15.000,images/frame_000015.jpg,0.000000,0.000,-1.000,0.827451,0.600
16,2026-08-24T05:09:46.911,16.000,images/frame_000016.jpg,0.000000,0.000,-1.000,0.827451,0.600
17,2026-08-24T05:09:47.911,17.000,images/frame_000017.jpg,-1.000000,-30.000,-1.000,1.000000,0.600
18,2026-08-24T05:09:48.911,18.000,images/frame_000018.jpg,0.000000,0.000,-1.000,1.000000,0.600
19,2026-08-24T05:09:49.911,19.000,images/frame_000019.jpg,0.000000,0.000,-1.000,1.000000,0.600
20,2026-08-24T05:09:50.911,20.001,images/frame_000020.jpg,0.647059,19.412,-1.000,1.000000,0.600
21,2026-08-24T05:09:51.913,21.002,images/frame_000021.jpg,0.000000,0.000,-1.000,1.000000,0.600
22,2026-08-24T05:09:52.911,22.000,images/frame_000022.jpg,0.000000,0.000,-1.000,1.000000,0.600
23,2026-08-24T05:09:53.911,23.000,images/frame_000023.jpg,1.000000,30.000,-1.000,1.000000,0.600
24,2026-08-24T05:09:54.911,24.000,images/frame_000024.jpg,0.000000,0.000,-1.000,0.968627,0.600
25,2026-08-24T05:09:55.911,25.000,images/frame_000025.jpg,0.000000,0.000,-1.000,0.000000,0.600
